Mortgage monthly repayments,dollars,%,Suburb
Median mortgage repayments,"1,863",--,Nollamara - Westminster
Households where mortgage repayments are less than 30% of household income,--,90.2,Nollamara - Westminster
Households with mortgage repayments greater than 30% of household income,--,9.8,Nollamara - Westminster
Median mortgage repayments,"2,167",--,Scarborough
Households where mortgage repayments are less than 30% of household income,--,93.0,Scarborough
Households with mortgage repayments greater than 30% of household income,--,7.0,Scarborough
Median mortgage repayments,"2,000",--,Stirling - Osborne Park
Households where mortgage repayments are less than 30% of household income,--,92.2,Stirling - Osborne Park
Households with mortgage repayments greater than 30% of household income,--,7.8,Stirling - Osborne Park
Median mortgage repayments,"2,500",--,Trigg - North Beach - Watermans Bay
Households where mortgage repayments are less than 30% of household income,--,93.7,Trigg - North Beach - Watermans Bay
Households with mortgage repayments greater than 30% of household income,--,6.3,Trigg - North Beach - Watermans Bay
Median mortgage repayments,"1,907",--,Tuart Hill - Joondanna
Households where mortgage repayments are less than 30% of household income,--,93.6,Tuart Hill - Joondanna
Households with mortgage repayments greater than 30% of household income,--,6.4,Tuart Hill - Joondanna
Median mortgage repayments,"2,500",--,Wembley Downs - Churchlands - Woodlands
Households where mortgage repayments are less than 30% of household income,--,93.6,Wembley Downs - Churchlands - Woodlands
Households with mortgage repayments greater than 30% of household income,--,6.4,Wembley Downs - Churchlands - Woodlands
Median mortgage repayments,"2,000",--,Yokine - Coolbinia - Menora
Households where mortgage repayments are less than 30% of household income,--,93.8,Yokine - Coolbinia - Menora
Households with mortgage repayments greater than 30% of household income,--,6.2,Yokine - Coolbinia - Menora
Median mortgage repayments,"1,733",--,Alexander Heights - Koondoola
Households where mortgage repayments are less than 30% of household income,--,87.5,Alexander Heights - Koondoola
Households with mortgage repayments greater than 30% of household income,--,12.5,Alexander Heights - Koondoola
Median mortgage repayments,"1,988",--,Butler - Merriwa - Ridgewood
Households where mortgage repayments are less than 30% of household income,--,86.4,Butler - Merriwa - Ridgewood
Households with mortgage repayments greater than 30% of household income,--,13.6,Butler - Merriwa - Ridgewood
Median mortgage repayments,"2,123",--,Carramar
Households where mortgage repayments are less than 30% of household income,--,81.3,Carramar
Households with mortgage repayments greater than 30% of household income,--,18.7,Carramar
Median mortgage repayments,"1,950",--,Clarkson
Households where mortgage repayments are less than 30% of household income,--,87.1,Clarkson
Households with mortgage repayments greater than 30% of household income,--,12.9,Clarkson
Median mortgage repayments,"1,549",--,Girrawheen
Households where mortgage repayments are less than 30% of household income,--,87.7,Girrawheen
Households with mortgage repayments greater than 30% of household income,--,12.3,Girrawheen
Median mortgage repayments,"2,178",--,Madeley - Darch - Landsdale
Households where mortgage repayments are less than 30% of household income,--,84.6,Madeley - Darch - Landsdale
Households with mortgage repayments greater than 30% of household income,--,15.4,Madeley - Darch - Landsdale
Median mortgage repayments,"1,757",--,Marangaroo
Households where mortgage repayments are less than 30% of household income,--,88.0,Marangaroo
Households with mortgage repayments greater than 30% of household income,--,12.0,Marangaroo
Median mortgage repayments,"2,253",--,Mindarie - Quinns Rocks - Jindalee
Households where mortgage repayments are less than 30% of household income,--,88.3,Mindarie - Quinns Rocks - Jindalee
Households with mortgage repayments greater than 30% of household income,--,11.7,Mindarie - Quinns Rocks - Jindalee
Median mortgage repayments,"2,182",--,Tapping - Ashby - Sinagra
Households where mortgage repayments are less than 30% of household income,--,87.5,Tapping - Ashby - Sinagra
Households with mortgage repayments greater than 30% of household income,--,12.5,Tapping - Ashby - Sinagra
Median mortgage repayments,"2,077",--,Wanneroo
Households where mortgage repayments are less than 30% of household income,--,88.2,Wanneroo
Households with mortgage repayments greater than 30% of household income,--,11.8,Wanneroo
Median mortgage repayments,"2,291",--,Alkimos - Eglinton
Households where mortgage repayments are less than 30% of household income,--,81.9,Alkimos - Eglinton
Households with mortgage repayments greater than 30% of household income,--,18.1,Alkimos - Eglinton
Median mortgage repayments,"2,167",--,Carabooda - Pinjar
Households where mortgage repayments are less than 30% of household income,--,91.2,Carabooda - Pinjar
Households with mortgage repayments greater than 30% of household income,--,8.8,Carabooda - Pinjar
Median mortgage repayments,"2,000",--,Two Rocks
Households where mortgage repayments are less than 30% of household income,--,84.5,Two Rocks
Households with mortgage repayments greater than 30% of household income,--,15.5,Two Rocks
Median mortgage repayments,"2,050",--,Yanchep
Households where mortgage repayments are less than 30% of household income,--,83.9,Yanchep
Households with mortgage repayments greater than 30% of household income,--,16.1,Yanchep
Median mortgage repayments,"1,517",--,Armadale - Wungong - Brookdale
Households where mortgage repayments are less than 30% of household income,--,88.3,Armadale - Wungong - Brookdale
Households with mortgage repayments greater than 30% of household income,--,11.7,Armadale - Wungong - Brookdale
Median mortgage repayments,"1,560",--,Camillo - Champion Lakes
Households where mortgage repayments are less than 30% of household income,--,87.8,Camillo - Champion Lakes
Households with mortgage repayments greater than 30% of household income,--,12.2,Camillo - Champion Lakes
Median mortgage repayments,"2,300",--,Forrestdale - Harrisdale - Piara Waters
Households where mortgage repayments are less than 30% of household income,--,80.7,Forrestdale - Harrisdale - Piara Waters
Households with mortgage repayments greater than 30% of household income,--,19.3,Forrestdale - Harrisdale - Piara Waters
Median mortgage repayments,"1,650",--,Kelmscott
Households where mortgage repayments are less than 30% of household income,--,90.7,Kelmscott
Households with mortgage repayments greater than 30% of household income,--,9.3,Kelmscott
Median mortgage repayments,"2,058",--,Mount Nasura - Mount Richon - Bedfordale
Households where mortgage repayments are less than 30% of household income,--,88.8,Mount Nasura - Mount Richon - Bedfordale
Households with mortgage repayments greater than 30% of household income,--,11.2,Mount Nasura - Mount Richon - Bedfordale
Median mortgage repayments,"2,102",--,Roleystone
Households where mortgage repayments are less than 30% of household income,--,89.5,Roleystone
Households with mortgage repayments greater than 30% of household income,--,10.5,Roleystone
Median mortgage repayments,"1,744",--,Seville Grove
Households where mortgage repayments are less than 30% of household income,--,83.8,Seville Grove
Households with mortgage repayments greater than 30% of household income,--,16.2,Seville Grove
Median mortgage repayments,"2,000",--,Belmont - Ascot - Redcliffe
Households where mortgage repayments are less than 30% of household income,--,91.7,Belmont - Ascot - Redcliffe
Households with mortgage repayments greater than 30% of household income,--,8.3,Belmont - Ascot - Redcliffe
Median mortgage repayments,"2,050",--,East Victoria Park - Carlisle
Households where mortgage repayments are less than 30% of household income,--,93.6,East Victoria Park - Carlisle
Households with mortgage repayments greater than 30% of household income,--,6.4,East Victoria Park - Carlisle
Median mortgage repayments,"1,950",--,Rivervale - Kewdale - Cloverdale
Households where mortgage repayments are less than 30% of household income,--,92.8,Rivervale - Kewdale - Cloverdale
Households with mortgage repayments greater than 30% of household income,--,7.2,Rivervale - Kewdale - Cloverdale
Median mortgage repayments,"2,045",--,Victoria Park - Lathlain - Burswood
Households where mortgage repayments are less than 30% of household income,--,94.6,Victoria Park - Lathlain - Burswood
Households with mortgage repayments greater than 30% of household income,--,5.4,Victoria Park - Lathlain - Burswood
